srr	input_reads	avg_input_read_length	unique_reads	unique_pct	avg_mapped_length	mismatch_rate_pct	multi_reads	multi_pct	too_many_loci_reads	too_many_loci_pct	unmapped_mismatches_pct	unmapped_short_pct	unmapped_other_pct	N_ambiguous	N_multimapping	N_noFeature	N_unmapped	gsm	platform	sra_spots	sra_bases	sra_avg_length	sra_size_mb	platform_short	srr_numeric	sample_title	source_name	geo_instrument_model	tissue	cell_type	genotype	treatment	sample_description	replicate	group_label	gc_warn_mates	gc_status	N_unmapped_pct_of_input	N_multimapping_pct_of_input	N_noFeature_pct_of_input	N_ambiguous_pct_of_input	source_group
SRR35329977	89957186	266.0	84106984	93.5	263.84	0.19	4521532	5.03	167906	0.19	0.0	1.23	0.06	1582840	4521532	3435508	1329409	GSM9228492	Illumina NovaSeq X	91559712	27651033024	302	8284	NovaSeq X	35329977	Replicate H64, CRE genotype, Ipsilateral tissue	Ipsi	Illumina NovaSeq X	Ipsi	DRG	CRE	Spinal Cord Injury - 1dpi	Library name: H64ffcre1dpiDRGipsi		Replicate H64, CRE genotype, Ipsilateral tissue	1	WARN	1.4778241284692921	5.026315518584585	3.8190478746189327	1.7595481477155146	Ipsi
SRR35329978	61342187	263.0	57189550	93.23	261.02	0.19	3182634	5.19	112869	0.18	0.0	1.35	0.05	1095265	3182634	2294428	970409	GSM9228503	Illumina NovaSeq X	62431273	18854244446	302	5643	NovaSeq X	35329978	Replicate H65,  Wildtype, Ipsilateral tissue	Ipsi	Illumina NovaSeq X	Ipsi	DRG	FF	Spinal Cord Injury - 1dpi	Library name: H65ff1dpiDRGipsi		Replicate H65,  Wildtype, Ipsilateral tissue	1	WARN	1.581960225839356	5.1883282218157625	3.7403752820224687	1.785500409367537	Ipsi
SRR35329979	89605541	267.0	83458675	93.14	264.33	0.2	4352052	4.86	154169	0.17	0.0	1.78	0.05	1582726	4352052	3534516	1795514	GSM9228497	Illumina NovaSeq X	91295732	27571311064	302	8259	NovaSeq X	35329979	Replicate H96,  Wildtype, Contralateral tissue	Contra	Illumina NovaSeq X	Contra	DRG	FF	Spinal Cord Injury - 1dpi	Library name: H96ff1dpiDRGcontra		Replicate H96,  Wildtype, Contralateral tissue	2	WARN	2.0037979570928544	4.856900534755992	3.9445283858059628	1.7663260355740724	Contra
SRR35329980	58788435	266.0	55024578	93.6	263.95	0.19	2858608	4.86	101316	0.17	0.0	1.32	0.05	1004870	2858608	2312947	905671	GSM9228498	Illumina NovaSeq X	59771064	18050861328	302	5430	NovaSeq X	35329980	Replicate H97,  Wildtype, Contralateral tissue	Contra	Illumina NovaSeq X	Contra	DRG	FF	Spinal Cord Injury - 1dpi	Library name: H97ff1dpiDRGcontra		Replicate H97,  Wildtype, Contralateral tissue	2	WARN	1.5405598056828693	4.8625346124624675	3.9343571571517426	1.7092987761963725	Contra
SRR35329981	75914744	263.0	70781745	93.24	260.92	0.19	3951285	5.2	133084	0.18	0.0	1.33	0.05	1326008	3951285	2901838	1182225	GSM9228499	Illumina NovaSeq X	77269576	23335411952	302	7007	NovaSeq X	35329981	Replicate H65,  Wildtype, Contralateral tissue	Contra	Illumina NovaSeq X	Contra	DRG	FF	Spinal Cord Injury - 1dpi	Library name: H65ff1dpiDRGcontra		Replicate H65,  Wildtype, Contralateral tissue	1	WARN	1.557306180206575	5.204898010325899	3.8224959304348043	1.7467068057293325	Contra
SRR35329982	69286090	263.0	64603932	93.24	260.93	0.2	3649758	5.27	118763	0.17	0.0	1.27	0.05	1217091	3649758	2617686	1032926	GSM9228500	Illumina NovaSeq X	70763706	21370639212	302	6457	NovaSeq X	35329982	Replicate H62,  Wildtype, Contralateral tissue	Contra	Illumina NovaSeq X	Contra	DRG	FF	Spinal Cord Injury - 1dpi	Library name: H62ff1dpiDRGcontra		Replicate H62,  Wildtype, Contralateral tissue	1	WARN	1.4908129467256703	5.267663393907782	3.778083017817862	1.756616659996256	Contra
SRR35329983	67768714	264.0	63197625	93.25	261.51	0.2	3342802	4.93	124885	0.18	0.0	1.57	0.06	1214124	3342802	2494339	1228789	GSM9228501	Illumina NovaSeq X	69026313	20845946526	302	6278	NovaSeq X	35329983	Replicate H61, CRE genotype, Ipsilateral tissue	Ipsi	Illumina NovaSeq X	Ipsi	DRG	CRE	Spinal Cord Injury - 1dpi	Library name: H61ffcre1dpiDRGipsi		Replicate H61, CRE genotype, Ipsilateral tissue	2	WARN	1.813209853738703	4.932662585274969	3.680664502501848	1.7915700746512615	Ipsi
SRR35329984	59618686	263.0	55725747	93.47	261.04	0.19	3047890	5.11	108839	0.18	0.0	1.18	0.06	1049919	3047890	2147392	845424	GSM9228502	Illumina NovaSeq X	60683491	18326414282	302	5497	NovaSeq X	35329984	Replicate H62,  Wildtype, Ipsilateral tissue	Ipsi	Illumina NovaSeq X	Ipsi	DRG	FF	Spinal Cord Injury - 1dpi	Library name: H62ff1dpiDRGipsi		Replicate H62,  Wildtype, Ipsilateral tissue	1	WARN	1.4180520516671569	5.112306567776418	3.601877438224653	1.7610569276887449	Ipsi
SRR35329985	55822712	264.0	51730058	92.67	262.29	0.19	3147466	5.64	96148	0.17	0.0	1.47	0.05	1017495	3147466	2176373	945513	GSM9228490	Illumina NovaSeq X	56779105	17147289710	302	5127	NovaSeq X	35329985	Replicate H64, CRE genotype, Contralateral tissue	Contra	Illumina NovaSeq X	Contra	DRG	CRE	Spinal Cord Injury - 1dpi	Library name: H64ffcre1dpiDRGcontra		Replicate H64, CRE genotype, Contralateral tissue	2	WARN	1.6937783316582684	5.638325131892553	3.898723157699683	1.8227258467843697	Contra
SRR35329986	56069970	266.0	52394522	93.44	263.71	0.19	2788432	4.97	103885	0.19	0.0	1.34	0.06	996302	2788432	1981799	887459	GSM9228491	Illumina NovaSeq X	57019234	17219808668	302	5150	NovaSeq X	35329986	Replicate H63, Wildtype, Ipsilateral tissue	Ipsi	Illumina NovaSeq X	Ipsi	DRG	FF	Spinal Cord Injury - 1dpi	Library name: H63ff1dpiDRGipsi		Replicate H63, Wildtype, Ipsilateral tissue	2	WARN	1.5827705989498477	4.973129109931752	3.5345105410257935	1.7768905530001176	Ipsi
