side_class	ff_srr	cre_srr	pca_distance
ipsi	SRR35329986	SRR35329987	0.27223996858464655
ipsi	SRR35329984	SRR35329987	0.6663706827139605
contra	SRR35329980	SRR35329988	1.1788493683869623
ipsi	SRR35329984	SRR35329983	2.2390211260164814
contra	SRR35329981	SRR35329988	2.3429269339366026
ipsi	SRR35329986	SRR35329983	2.4387990539041073
ipsi	SRR35329978	SRR35329993	3.0989197156775563
ipsi	SRR35329992	SRR35329987	3.42200398833832
ipsi	SRR35329978	SRR35329987	3.4234999994496085
ipsi	SRR35329984	SRR35329993	3.6904691531819602
contra	SRR35329979	SRR35329988	3.9148871860837704
contra	SRR35329989	SRR35329988	4.027208770292021
ipsi	SRR35329978	SRR35329983	4.037492252612229
ipsi	SRR35329986	SRR35329977	4.095491052319759
contra	SRR35329989	SRR35329996	4.159968664191877
contra	SRR35329979	SRR35329996	4.286870915580943
ipsi	SRR35329986	SRR35329993	4.454545253013453
ipsi	SRR35329991	SRR35329994	4.850852380465933
ipsi	SRR35329984	SRR35329977	4.914468679627522
ipsi	SRR35329992	SRR35329977	5.312756228780968
ipsi	SRR35329992	SRR35329983	5.3171848345507495
ipsi	SRR35329991	SRR35329987	5.483424623533098
contra	SRR35329981	SRR35329996	5.6254404968783405
ipsi	SRR35329992	SRR35329993	5.7112014639797595
ipsi	SRR35329991	SRR35329977	5.918341996648236
ipsi	SRR35329992	SRR35329994	6.786587079813079
ipsi	SRR35329978	SRR35329977	7.209930487200442
ipsi	SRR35329991	SRR35329983	7.524718102955252
contra	SRR35329982	SRR35329985	7.824695094744621
ipsi	SRR35329991	SRR35329993	7.909338825753466
contra	SRR35329982	SRR35329996	8.033553003115557
contra	SRR35329980	SRR35329996	8.063705797885753
ipsi	SRR35329978	SRR35329994	8.617589661478226
ipsi	SRR35329984	SRR35329994	9.89656169786805
ipsi	SRR35329986	SRR35329994	10.189305450010048
contra	SRR35329982	SRR35329995	10.475121281977092
contra	SRR35329982	SRR35329988	15.94044096866354
contra	SRR35329982	SRR35329990	17.047912774608086
contra	SRR35329989	SRR35329985	19.90359873347809
contra	SRR35329979	SRR35329985	20.029127589479778
contra	SRR35329981	SRR35329985	21.461465836461233
contra	SRR35329989	SRR35329995	22.551312102693117
contra	SRR35329979	SRR35329995	22.67666893610728
contra	SRR35329980	SRR35329985	23.858293755085132
contra	SRR35329981	SRR35329995	24.113520225910335
contra	SRR35329980	SRR35329995	26.506679306532842
contra	SRR35329989	SRR35329990	29.01361370204115
contra	SRR35329979	SRR35329990	29.14053696027411
contra	SRR35329981	SRR35329990	30.481972588465986
contra	SRR35329980	SRR35329990	32.934339033362974
