gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000026628	14650.8125638744	5.97087651689662	0.0941891565617516	63.3923981788927	0	0
ENSMUSG00000036390	7407.1258322948	3.51628381182173	0.0724754324795279	48.5169069231145	0	0
ENSMUSG00000051379	5691.6137247449	3.75342209906902	0.0875892431257382	42.8525463301563	0	0
ENSMUSG00000052684	12732.0800475042	1.92466208007051	0.0447278106347712	43.030545263807	0	0
ENSMUSG00000063632	2497.65847078636	3.27322619438355	0.0815434024066693	40.1409077592749	0	0
ENSMUSG00000019647	4767.59580221023	3.51563819831424	0.0922561998998657	38.1073380664941	9.68488229735137e-318	3.46492805658241e-314
ENSMUSG00000073680	829.441405581674	5.54718215950102	0.154983970950955	35.7919733599833	1.47234069152606e-280	4.51503789775691e-277
ENSMUSG00000037428	16683.7522086158	2.23334483939714	0.0687638658572622	32.478465420095	2.14788593951927e-231	5.76331494721509e-228
ENSMUSG00000042816	871.386730841559	4.65751605272948	0.145084620087904	32.1020660212472	4.12567580510634e-226	9.84019520360142e-223
ENSMUSG00000001473	1906.16456694685	2.17804187964076	0.0726109072705223	29.9960703083651	1.10426535925146e-197	2.37041602016918e-194
ENSMUSG00000046223	1607.30022271194	3.12497870564791	0.106531154312643	29.3339420361189	3.82978808968239e-189	7.47365737573838e-186
ENSMUSG00000031574	608.571398802081	3.94265223732176	0.134734450159408	29.2623915610083	3.1235139259497e-188	5.58744582786968e-185
ENSMUSG00000039328	1574.49890743604	1.94874145625898	0.0680701637486667	28.6284232171712	2.97606204356582e-180	4.91416521747569e-177
ENSMUSG00000004951	15797.5889209086	1.15400372698632	0.0403174781701016	28.6229144123925	3.48506314057231e-180	5.34359752682322e-177
ENSMUSG00000003752	1040.75557864385	1.72179335266923	0.0607489491071149	28.3427677017638	1.02770856633247e-176	1.47071947232619e-173
ENSMUSG00000046688	3648.23954981493	1.91971429402471	0.072020633351394	26.6550598723325	1.563603670825e-156	2.09776977487059e-153
ENSMUSG00000025473	1048.38171593927	2.67016631453317	0.100441403425887	26.5843190502949	1.03061616334989e-155	1.30136509190993e-152
ENSMUSG00000050164	465.540162224075	2.33155773759956	0.0885930212458266	26.3176230453863	1.20541509671143e-152	1.43752447033375e-149
ENSMUSG00000022044	2658.90010350879	2.07391787287171	0.0789072574748482	26.2829800355534	3.00194082016397e-152	3.3915611392442e-149
ENSMUSG00000028494	3835.80421163028	1.199389952076	0.0456580618150285	26.2689633417864	4.34094981465579e-152	4.65914143607006e-149
ENSMUSG00000030898	448.701168850465	6.17845771760935	0.23732810837264	26.0334005945401	2.07417565636951e-149	2.12020260188704e-146
ENSMUSG00000046731	1157.2547643915	1.63392703070226	0.063125729535217	25.8836934279026	1.01645829457232e-147	9.91786079604062e-145
ENSMUSG00000056749	929.498103792387	1.94436523806295	0.0770792108511756	25.2255467666518	2.10137984378745e-140	1.96122694464093e-137
ENSMUSG00000015652	387.376097678084	2.67526035113891	0.106464153614926	25.1282733230112	2.4422148463663e-139	2.18435766217079e-136
ENSMUSG00000024143	13685.106165604	1.53293614421736	0.0610719350465419	25.1005006317408	4.91111908979586e-139	4.21688329526232e-136
ENSMUSG00000022895	2049.89222855337	1.13335063437207	0.0453439529360882	24.9945265241765	7.01129338370458e-138	5.78863168363856e-135
ENSMUSG00000038059	1749.77928784434	2.69216254781066	0.107957441681895	24.9372577366489	2.93582953369431e-137	2.33409321371415e-134
ENSMUSG00000019876	3057.61380875515	1.29063197350217	0.0517688322718526	24.9306757920422	3.4603411033182e-137	2.65284579013673e-134
ENSMUSG00000037447	1684.07878809883	1.8055691627389	0.0727909655487179	24.8048524858549	7.94680411929468e-136	5.88227921464757e-133
ENSMUSG00000033902	1460.65785989145	1.82585789644729	0.0741866175805356	24.611688145307	9.47018878429875e-134	6.77623574812523e-131
ENSMUSG00000030748	4118.35590673666	1.09624298779403	0.0447473150990216	24.4985198635526	1.53178110348885e-132	1.06068429572554e-129
ENSMUSG00000023905	1035.38057915614	2.51087707860323	0.103053966970479	24.3646814617287	4.05192617948362e-131	2.71808273027486e-128
ENSMUSG00000030102	2295.87096949066	1.63859398402026	0.0681394382492478	24.0476591254896	8.83204302266103e-128	5.74511016740733e-125
ENSMUSG00000032802	35809.8462137625	1.43039735984769	0.0596208913077799	23.9915460583032	3.40737755557505e-127	2.151257841411e-124
ENSMUSG00000032515	732.838162314317	2.16141638893824	0.0907816747925388	23.8089503622584	2.69788638990457e-125	1.65465226416261e-122
ENSMUSG00000025089	18094.3565992795	1.37916750420633	0.0579474298936647	23.8003222358117	3.31420987725251e-125	1.97618970069729e-122
ENSMUSG00000021765	585.461361445122	2.86047565011735	0.120468533223654	23.7445876825508	1.24971757930801e-124	7.25038852903399e-122
ENSMUSG00000025348	17267.5888143636	1.97624146955947	0.0839510197181691	23.540410541693	1.57398516053147e-122	8.89135933051804e-120
ENSMUSG00000030256	4878.68276452917	1.17199794359236	0.0499163950158558	23.4792184655979	6.65134159791444e-122	3.66096663438029e-119
ENSMUSG00000087006	6980.27573345325	1.06897963115035	0.0455322038898685	23.4774410159446	6.93530866572304e-122	3.72183339546027e-119
ENSMUSG00000040151	5974.29391285692	0.725295073034696	0.0311342650850102	23.2957184328688	4.89917738764397e-120	2.56501809276013e-117
ENSMUSG00000001054	2799.2354268083	0.876378666719636	0.0386799917559398	22.6571575363652	1.18591654316423e-113	6.04660185829642e-111
ENSMUSG00000037705	1376.82144081684	1.55923686228411	0.0688215591542438	22.656226935945	1.21123581434243e-113	6.04660185829642e-111
ENSMUSG00000014599	3174.22723421352	1.99222586895281	0.0883317633663757	22.5539012584817	1.22954441825668e-112	5.99850010961317e-110
ENSMUSG00000024891	855.81203921781	1.8186967616482	0.0806661728991502	22.5459656295081	1.47099958165736e-112	7.01699489330153e-110
ENSMUSG00000025612	1844.17118470893	0.947772873917866	0.0423060707666182	22.4027629307922	3.6991147801582e-111	1.7261999537147e-108
ENSMUSG00000024664	6754.00289146635	1.00185891536629	0.0447316308953475	22.3971023482287	4.20024105837158e-111	1.91834839487244e-108
ENSMUSG00000020427	3547.49401207581	2.81230142064615	0.125750676996759	22.3641056081045	8.80304257116923e-111	3.93679399651497e-108
ENSMUSG00000023067	7936.99608629144	1.60422929835886	0.071775098605186	22.3507780488504	1.18658116006493e-110	5.1981941187661e-108
ENSMUSG00000117324	220.340043252387	5.20557186540359	0.234069805289943	22.2393993063541	1.42855839000041e-109	6.13308687994978e-107
ENSMUSG00000024404	6556.06578101262	0.784774479269532	0.0353656626430058	22.1902947837098	4.26190756759012e-109	1.79384525188019e-106
ENSMUSG00000000078	7150.77758731966	1.15718862566327	0.0524838459237576	22.0484723498407	9.88029454044183e-108	4.07866158856008e-105
ENSMUSG00000030681	3314.68776251488	1.12544628666141	0.0510484234180147	22.0466414299534	1.02881458013417e-107	4.1668931655019e-105
ENSMUSG00000006304	14315.8102743024	0.48965436083764	0.0222802334035647	21.9770750139134	4.77235946475533e-107	1.89710126426737e-104
ENSMUSG00000041831	1537.96956528915	0.953391052009884	0.0435674868602569	21.8830857760489	3.76487817624035e-106	1.46939772602137e-103
ENSMUSG00000038650	7164.15518718129	1.11612794237668	0.0510167500439863	21.8776762811109	4.23898359534396e-106	1.6248932474581e-103
ENSMUSG00000058093	1484.70782679059	1.63369688646298	0.0747181489911548	21.8647933403219	5.62193518661106e-106	2.11720106518935e-103
ENSMUSG00000109901	3862.49638991449	1.0045055282297	0.0460866897047829	21.7960008554369	2.53196644641124e-105	9.37089512735579e-103
ENSMUSG00000061950	2720.50654352894	0.848885797648615	0.0390568522551439	21.7346188603004	9.65815649579957e-105	3.51393198879379e-102
ENSMUSG00000027495	2349.86381932736	1.43647621096385	0.066232717433795	21.688317596205	2.64483780322983e-104	9.46234804735524e-102
ENSMUSG00000048807	2303.51668566845	0.885342916653973	0.0408519124560609	21.6720066069421	3.76965622848998e-104	1.32654820656993e-101
ENSMUSG00000044934	3112.84782387295	1.50241114681761	0.0693975462698922	21.6493410440568	6.16554882094268e-104	2.13467211274767e-101
ENSMUSG00000028226	1044.75889419369	1.80887618193392	0.0837501599835274	21.5984803168102	1.8562196831878e-103	6.32470027290624e-101
ENSMUSG00000031074	419.275608392955	7.7778419559648	0.375246810876621	20.7272699741134	1.96632775700487e-95	6.59518619247913e-93
ENSMUSG00000030272	4748.05152695502	1.59438841486393	0.0773028943652391	20.6252098056095	1.63022239817386e-94	5.38374676910769e-92
ENSMUSG00000004846	2878.22150137967	0.754671974471102	0.0366006839054729	20.6190675677034	1.85091292492726e-94	6.01995406764979e-92
ENSMUSG00000033983	1428.14312542502	1.1389183514585	0.0553362830735517	20.5817645891518	3.99857569921713e-94	1.28109590984171e-91
ENSMUSG00000035621	5082.5328188002	0.962876956637273	0.046964085031094	20.5024106399554	2.04888103752262e-93	6.46783534580301e-91
ENSMUSG00000020205	1574.78076299018	1.56401869950507	0.0765471567560133	20.4320939638586	8.67029072547267e-93	2.69734001033328e-90
ENSMUSG00000001542	3147.50142084087	1.10440607218199	0.0541405305584431	20.3988778977668	1.71096689797421e-92	5.2468022045592e-90
ENSMUSG00000034300	7954.5631218731	1.24816015167028	0.0615462921088218	20.2800218973934	1.93045348113316e-91	5.83649498957809e-89
ENSMUSG00000031681	3345.47673658897	0.983270335299482	0.0485620579866678	20.2477072855814	3.72162676554444e-91	1.10956166873857e-88
ENSMUSG00000050989	2418.24226926508	0.896979637836319	0.0444924283548615	20.1602760515163	2.18658767618047e-90	6.42976589820411e-88
ENSMUSG00000048216	1081.6373102224	0.946796221924008	0.0471505606852856	20.0802749355105	1.09785506420744e-89	3.18466983895633e-87
ENSMUSG00000026558	10153.4016431673	1.32331034563107	0.0659074324909776	20.0783173553639	1.14197838164242e-89	3.26849439204483e-87
ENSMUSG00000035673	4900.65767972314	1.66009074667257	0.08273094436739	20.0661404190005	1.4590479234364e-89	4.12104246374812e-87
ENSMUSG00000020737	9133.13652634719	0.633607765157268	0.0316712255707057	20.005786127308	4.90393509668325e-89	1.36711520500523e-86
ENSMUSG00000058153	2101.88202868088	2.45373237218184	0.123089523263528	19.934534695764	2.04195077703867e-88	5.61955325383487e-86
ENSMUSG00000030095	4073.29293959981	1.13428442201159	0.0569743648033461	19.9086804377146	3.42210321658188e-88	9.29859084141097e-86
ENSMUSG00000024261	37896.5902328474	1.01326724621317	0.0509101846062166	19.9030361812799	3.83010125649768e-88	1.02771191964974e-85
ENSMUSG00000037280	344.919228857203	1.9154103278357	0.0962431708413281	19.9017791194095	3.92738042338012e-88	1.0408042983738e-85
ENSMUSG00000029552	1244.94797600063	1.44843992482711	0.0730347517192868	19.8322016674237	1.5701431030768e-87	4.1103282744691e-85
ENSMUSG00000032939	6348.76048046223	0.60560843996304	0.0307334021362154	19.7052196590175	1.94496347721229e-86	5.03019108455891e-84
ENSMUSG00000033060	1217.87563110409	2.06499216521104	0.105254068653914	19.6191196370845	1.06176004736896e-85	2.71330252105026e-83
ENSMUSG00000028793	5509.71245759808	0.943766062318876	0.0481163357861764	19.6142546371957	1.16837029149712e-85	2.95061607967968e-83
ENSMUSG00000024691	732.333607723706	1.50437075332768	0.0767408860102587	19.6032497347838	1.45057584318878e-85	3.62070477324306e-83
ENSMUSG00000043003	507.125383304546	1.75214366291744	0.0900049873275627	19.4671841521484	2.08417966177575e-84	5.14241386433082e-82
ENSMUSG00000036160	1377.02005483812	0.810102379686637	0.0417539574796733	19.4018107165294	7.45005490863214e-84	1.81730543941702e-81
ENSMUSG00000003644	1483.30246962822	0.889764163358997	0.0458618889384618	19.4009488914182	7.57600629521925e-84	1.82726461947389e-81
ENSMUSG00000029378	168.637121672424	4.41847527446124	0.229175579614381	19.2798695301477	7.92762033741955e-83	1.89082553514498e-80
ENSMUSG00000042688	2540.40609857712	0.938584477936297	0.048755523307762	19.2508338391042	1.38909123453621e-82	3.27672883962135e-80
ENSMUSG00000005087	20280.9900635307	1.08289231449519	0.0563092152462971	19.2311739696354	2.02980898625918e-82	4.73607388033038e-80
ENSMUSG00000026836	1559.22596640028	0.955644887796747	0.0502671303193851	19.0113277150458	1.37429715978742e-80	3.1721142830104e-78
ENSMUSG00000027611	1010.27671808777	2.89149901664077	0.152362766445839	18.9777271973374	2.60628982113209e-80	5.95176779791718e-78
ENSMUSG00000026670	4880.36753563257	0.577352474427214	0.0304636665752242	18.9521662798387	4.23773755005575e-80	9.57550255257861e-78
ENSMUSG00000021400	3866.20160604624	0.617828900476253	0.0326048709801985	18.9489754721456	4.50264322587052e-80	1.00680978631809e-77
ENSMUSG00000003153	7363.47907798268	0.727123955029513	0.0384826655210024	18.8948438260514	1.25759185184279e-79	2.78303780326365e-77
ENSMUSG00000021453	1529.8576352721	1.99475475800274	0.10592862911733	18.8311202988691	4.19785601062744e-79	9.19501807389068e-77
ENSMUSG00000038943	459.616617433238	1.43958397494591	0.0766354984902054	18.7848190891575	1.0052825430382e-78	2.17973687564221e-76
ENSMUSG00000028896	826.087782287964	1.29624676922103	0.0690212164602115	18.7804103679957	1.09232599356513e-78	2.3447869777869e-76
ENSMUSG00000002459	372.760853016128	2.07291912760623	0.110793127997356	18.7098168006926	4.11788070283235e-78	8.75192348188111e-76
ENSMUSG00000068566	11178.3925071722	1.03851693495223	0.0556002072495622	18.6782925159043	7.43599318189256e-78	1.56491205531868e-75
ENSMUSG00000048482	4344.33838217333	1.41629307937827	0.0758381257398679	18.6752120461981	7.87764755926482e-78	1.6417629369629e-75
ENSMUSG00000024256	16968.6980780171	1.97678882135342	0.10587725774768	18.6705706532784	8.59297242524713e-78	1.77362255846495e-75
ENSMUSG00000015745	2570.59166486235	1.02105078311582	0.0548321969933703	18.6213728266128	2.15615051362015e-77	4.40799304051144e-75
ENSMUSG00000034832	2001.86850536044	1.23534850639962	0.0666928307276051	18.5229580589431	1.34821768263713e-76	2.7302679976876e-74
ENSMUSG00000056076	10597.307244829	0.551977120204718	0.029899296033924	18.4612079019666	4.23758079625907e-76	8.50129994135488e-74
ENSMUSG00000037458	16118.7509556964	0.969522938162916	0.0525303713970655	18.4564264896303	4.62977971159429e-76	9.20211586010028e-74
ENSMUSG00000014195	10692.7185018228	0.488293966556926	0.0264648356307673	18.4506706699228	5.15019557699689e-76	1.01425778216344e-73
ENSMUSG00000021070	853.59090350935	1.69659692127381	0.0919909032929032	18.4430944858946	5.92511437580639e-76	1.15614720845143e-73
ENSMUSG00000079442	1306.40434284594	1.48356645015516	0.0804423242512845	18.4426104536813	5.9784002673115e-76	1.15614720845143e-73
ENSMUSG00000121792	230.04204995772	2.86428552299127	0.15584984373484	18.3784946737868	1.95313772311764e-75	3.74339771111101e-73
ENSMUSG00000035671	2392.52672143667	1.04110953561979	0.0568974828748355	18.2979893488443	8.58595391639459e-75	1.63102731654271e-72
ENSMUSG00000018736	12089.3348221421	0.591144036464466	0.0325621120590053	18.1543517629711	1.18619972481887e-73	2.23359327131244e-71
ENSMUSG00000042804	6060.737785486	0.95327245023881	0.0528972113596347	18.0212231559383	1.32775214190522e-72	2.47839369375109e-70
ENSMUSG00000002250	1187.05780401373	0.832678180172722	0.0462215564187828	18.0149316615039	1.48764611968887e-72	2.75291479355528e-70
ENSMUSG00000027198	3589.60302266623	0.78953289110205	0.0438494801418272	18.0055245478025	1.76321438349299e-72	3.23497093641543e-70
ENSMUSG00000032641	813.718108516769	1.10710900804458	0.0618266637368642	17.9066593784918	1.04629755482962e-71	1.90337485694683e-69
ENSMUSG00000044734	13539.6043592525	1.47126474021318	0.0821709016644011	17.9049360590207	1.07919010466889e-71	1.94671384763213e-69
ENSMUSG00000018507	5489.11215919931	0.775020568265511	0.0433128707522633	17.8935396062385	1.32423040200334e-71	2.36882748411697e-69
ENSMUSG00000078532	962.568400453881	1.71892343954909	0.0960853030849039	17.8895563042581	1.42236384423718e-71	2.52334399011532e-69
ENSMUSG00000037638	633.553383592348	1.1344852710992	0.0635149843978592	17.8616948717607	2.34411919911908e-71	4.12449694494182e-69
ENSMUSG00000021501	3181.70941829881	0.56883080694246	0.0318873847630832	17.838741281819	3.53571047306946e-71	6.17053341584627e-69
ENSMUSG00000041870	3656.79767874792	0.861504954851536	0.0484107582324081	17.7957335581414	7.62621717927922e-71	1.32019659653555e-68
ENSMUSG00000038894	5845.86501492394	1.27105817932839	0.0715540923787203	17.7635986576554	1.3527651897692e-70	2.32307660508684e-68
ENSMUSG00000025648	2134.17189612547	1.25755163527525	0.0708301491082359	17.7544682752761	1.59170929770419e-70	2.7117168082951e-68
ENSMUSG00000037568	588.697551665735	1.97059562346033	0.11136566061118	17.6948227366103	4.59674539370076e-70	7.76958556072288e-68
ENSMUSG00000066838	566.851170833567	1.2801482944195	0.0727147953044997	17.605059452602	2.25270955639745e-69	3.77786432325216e-67
ENSMUSG00000024883	279.320328959232	2.97754832589864	0.169906232928048	17.5246562447157	9.29013388057113e-69	1.54590708434372e-66
ENSMUSG00000039473	3147.66954673284	0.924146034187637	0.0531216698485706	17.3967805760252	8.72720616179161e-68	1.44106313437707e-65
ENSMUSG00000025337	5786.1518956787	0.505868278943645	0.0291242557960051	17.3693117684069	1.40905838111779e-67	2.3089196342805e-65
ENSMUSG00000035828	4122.25121477928	0.870109371356135	0.0501467500756492	17.3512614485191	1.92960120655454e-67	3.13794087120452e-65
ENSMUSG00000101797	153.615137613325	3.54967493052863	0.204874219522958	17.326118136259	2.9883042368917e-67	4.82307810143739e-65
ENSMUSG00000024376	977.399148230697	1.56317012031043	0.0905082923580097	17.2710155012895	7.77619498317895e-67	1.24570001126059e-64
ENSMUSG00000032578	930.021506619748	1.39258385946212	0.0807690870307966	17.2415451338597	1.29528078453343e-66	2.05959239413293e-64
ENSMUSG00000007812	2684.86980878364	0.695168103340416	0.040431303301806	17.1938089195696	2.95467402103757e-66	4.66360533349945e-64
ENSMUSG00000031545	6685.80763144893	0.436621571556275	0.0254026145060876	17.188056428272	3.26288383853757e-66	5.11248645825164e-64
ENSMUSG00000007041	9278.33852101609	0.75501541448607	0.0439912753607263	17.1628444116471	5.03844388662647e-66	7.83733597611042e-64
