srr	sample_title	group_label	source_name	platform_family	source_class	geno_class	condition_family	family_id	gc_status	sex	genotype	treatment	include_in_de	excluded_reason
SRR30333743	Control DRG, ipsilateral, replicate 2	Control DRG, ipsilateral	Dorsal root ganglia	NovaSeq X	tissue	control	ipsilateral_sham	family_tissue_sham_novaseqx	PASS	male	Ahr fl/fl	WT, 1 day post-sham surgery	TRUE	
SRR30333744	Control DRG, ipsilateral, replicate 1	Control DRG, ipsilateral	Dorsal root ganglia	NovaSeq X	tissue	control	ipsilateral_sham	family_tissue_sham_novaseqx	PASS	male	Ahr f/+	WT, 1 day post-sham surgery	TRUE	
SRR30333745	Control DRG, contralateral, replicate 2	Control DRG, contralateral	Dorsal root ganglia	NovaSeq X	tissue	control	contralateral_sham	family_tissue_sham_novaseqx	PASS	male	Ahr fl/fl	WT, 1 day post-sham surgery	TRUE	
SRR30333746	Control DRG, contralateral, replicate 1	Control DRG, contralateral	Dorsal root ganglia	NovaSeq X	tissue	control	contralateral_sham	family_tissue_sham_novaseqx	PASS	male	Ahr f/+	WT, 1 day post-sham surgery	TRUE	
SRR30333747	Control DRG neurons, replicate 3	Control DRG neurons	Dorsal root ganglia neurons	NovaSeq X	neurons	control	neuron_culture	family_neurons_novaseqx	PASS	female	Ahr fl/fl	WT, 24h post-seeding	TRUE	
SRR30333748	Control DRG neurons, replicate 2	Control DRG neurons	Dorsal root ganglia neurons	NovaSeq X	neurons	control	neuron_culture	family_neurons_novaseqx	PASS	female	Ahr fl/fl	WT, 24h post-seeding	TRUE	
SRR30333749	Control DRG neurons, replicate 1	Control DRG neurons	Dorsal root ganglia neurons	NovaSeq X	neurons	control	neuron_culture	family_neurons_novaseqx	PASS	female	Ahr fl/fl	WT, 24h post-seeding	TRUE	
SRR30333750	Conditional Knockout DRG neurons, replicate 3	Conditional Knockout DRG neurons	Dorsal root ganglia neurons	NovaSeq X	neurons	cko	neuron_culture	family_neurons_novaseqx	PASS	female	Ahr f/f Thy1-CRE(ERT2/EYFP)	conditional KO, 24h post-seeding	TRUE	
SRR30333751	Conditional Knockout DRG neurons, replicate 2	Conditional Knockout DRG neurons	Dorsal root ganglia neurons	NovaSeq X	neurons	cko	neuron_culture	family_neurons_novaseqx	PASS	female	Ahr f/f Thy1-CRE(ERT2/EYFP)	conditional KO, 24h post-seeding	TRUE	
SRR30333752	Conditional Knockout DRG neurons, replicate 1	Conditional Knockout DRG neurons	Dorsal root ganglia neurons	NovaSeq X	neurons	cko	neuron_culture	family_neurons_novaseqx	PASS	female	Ahr f/f Thy1-CRE(ERT2/EYFP)	conditional KO, 24h post-seeding	TRUE	
SRR30333753	Conditional Knockout DRG, ipsilateral, replicate 2	Conditional Knockout DRG, ipsilateral	Dorsal root ganglia	NovaSeq X	tissue	cko	ipsilateral_sham	family_tissue_sham_novaseqx	PASS	male	Ahr f/f Thy1-CRE(ERT2/EYFP)	conditional KO, 1 day post-sham surgery	TRUE	
SRR30333754	Conditional Knockout DRG, ipsilateral, replicate 1	Conditional Knockout DRG, ipsilateral	Dorsal root ganglia	NovaSeq X	tissue	cko	ipsilateral_sham	family_tissue_sham_novaseqx	PASS	male	Ahr f/f Thy1-CRE(ERT2/EYFP)	conditional KO, 1 day post-sham surgery	TRUE	
SRR30333755	Conditional Knockout DRG, contralateral, replicate 2	Conditional Knockout DRG, contralateral	Dorsal root ganglia	NovaSeq X	tissue	cko	contralateral_sham	family_tissue_sham_novaseqx	PASS	male	Ahr f/f Thy1-CRE(ERT2/EYFP)	conditional KO, 1 day post-sham surgery	TRUE	
SRR30333756	Conditional Knockout DRG, contralateral, replicate 1	Conditional Knockout DRG, contralateral	Dorsal root ganglia	NovaSeq X	tissue	cko	contralateral_sham	family_tissue_sham_novaseqx	WARN	male	Ahr f/f Thy1-CRE(ERT2/EYFP)	conditional KO, 1 day post-sham surgery	TRUE	
SRR30333757	Conditional Knockout DRG, injury, replicate 3	Conditional Knockout DRG, injury	Dorsal root ganglia	NovaSeq 6000	tissue	cko	injury	family_tissue_novaseq6000	WARN	male	Ahr f/f Thy1-CRE(ERT2/EYFP)	conditional KO, 1 day post-sciatic nerve crush	TRUE	
SRR30333758	Conditional Knockout DRG, injury, replicate 2	Conditional Knockout DRG, injury	Dorsal root ganglia	NovaSeq 6000	tissue	cko	injury	family_tissue_novaseq6000	WARN	female	Ahr f/f Thy1-CRE(ERT2/EYFP)	conditional KO, 1 day post-sciatic nerve crush	TRUE	
SRR30333759	Conditional Knockout DRG, injury, replicate 1	Conditional Knockout DRG, injury	Dorsal root ganglia	NovaSeq 6000	tissue	cko	injury	family_tissue_novaseq6000	WARN	female	Ahr f/f Thy1-CRE(ERT2/EYFP)	conditional KO, 1 day post-sciatic nerve crush	TRUE	
SRR30333760	Control DRG, injury, replicate 3	Control DRG, injury	Dorsal root ganglia	NovaSeq 6000	tissue	control	injury	family_tissue_novaseq6000	WARN	male	Ahr fl/fl	WT, 1 day post-sciatic nerve crush	TRUE	
SRR30333761	Control DRG, injury, replicate 2	Control DRG, injury	Dorsal root ganglia	NovaSeq 6000	tissue	control	injury	family_tissue_novaseq6000	WARN	female	Ahr fl/+	WT, 1 day post-sciatic nerve crush	TRUE	
SRR30333762	Control DRG, injury, replicate 1	Control DRG, injury	Dorsal root ganglia	NovaSeq 6000	tissue	control	injury	family_tissue_novaseq6000	WARN	female	Ahr fl/+	WT, 1 day post-sciatic nerve crush	TRUE	
SRR30333763	Conditional Knockout DRG, replicate 3	Conditional Knockout DRG	Dorsal root ganglia	NovaSeq 6000	tissue	cko	naive	family_tissue_novaseq6000	WARN	female	Ahr f/f Thy1-CRE(ERT2/EYFP)	conditional KO	TRUE	
SRR30333764	Conditional Knockout DRG, replicate 2	Conditional Knockout DRG	Dorsal root ganglia	NovaSeq 6000	tissue	cko	naive	family_tissue_novaseq6000	WARN	female	Ahr f/f Thy1-CRE(ERT2/EYFP)	conditional KO	TRUE	
