metric	count	interpretation
Source-paper AhR/RSS-prioritized genes	1431	Genes identified by the source paper using |RSS| >= 0.3 in Supplementary Table 5.
Found in our DESeq2-tested gene universe	1025	Confirms identifier matching/overlap with the count matrix used for our DESeq2 side-specific contrasts.
Significant in our WT side-specific contrast	473	Source-paper RSS genes with adjusted p-value support in our WT/FF ipsilateral-vs-contralateral branch.
Significant in our cKO side-specific contrast	577	Source-paper RSS genes with adjusted p-value support in our CRE/cKO ipsilateral-vs-contralateral branch.
Present in WT bend-point set	43	Source-paper RSS genes recovered in the 709-gene WT/FF bend-point follow-up set.
Present in cKO bend-point set	45	Source-paper RSS genes recovered in the 870-gene CRE/cKO bend-point follow-up set.
Present in WT/cKO shared 620-gene set	34	RSS genes that fall in the shared injury-response backbone retained by both bend-point branches.
Present in cKO-only 250-gene set	11	RSS genes that may support cKO-specific interpretation beyond the shared injury-response core.
Present in WT-only 89-gene set	9	RSS genes that appear only in the WT/FF bend-point follow-up subset.
Directionally consistent with RSS sign	987	Matched genes where sign(source RSS) agrees with sign(our cKO/CRE log2FC minus our WT/FF log2FC).
Appearing in retained GO follow-up terms	47	RSS genes that appear in at least one retained g:Profiler/GO membership table used for pathway-level interpretation.
Appearing in anchor-gene follow-up tables	3	RSS genes that overlap the branch-level anchor-gene tables used to explain leading signals.
