branch	go_direction	native	name	gene_id	symbol
WT/FF	up	GO:0048518	positive regulation of biological process	ENSMUSG00000030898	Cckbr
WT/FF	up	GO:0048518	positive regulation of biological process	ENSMUSG00000046223	Plaur
WT/FF	up	GO:0048518	positive regulation of biological process	ENSMUSG00000031074	Fgf3
WT/FF	up	GO:0048518	positive regulation of biological process	ENSMUSG00000025746	Il6
WT/FF	up	GO:0048518	positive regulation of biological process	ENSMUSG00000054136	Adm2
WT/FF	up	GO:0048518	positive regulation of biological process	ENSMUSG00000015316	Slamf1
WT/FF	up	GO:0048518	positive regulation of biological process	ENSMUSG00000037411	Serpine1
WT/FF	up	GO:0048518	positive regulation of biological process	ENSMUSG00000024803	Ankrd1
WT/FF	up	GO:0048518	positive regulation of biological process	ENSMUSG00000039910	Cited2
WT/FF	up	GO:0048518	positive regulation of biological process	ENSMUSG00000024517	Grp
WT/FF	up	GO:0048518	positive regulation of biological process	ENSMUSG00000038676	Ucn
WT/FF	up	GO:0048518	positive regulation of biological process	ENSMUSG00000038331	Satb2
WT/FF	up	GO:0048522	positive regulation of cellular process	ENSMUSG00000030898	Cckbr
WT/FF	up	GO:0048522	positive regulation of cellular process	ENSMUSG00000046223	Plaur
WT/FF	up	GO:0048522	positive regulation of cellular process	ENSMUSG00000031074	Fgf3
WT/FF	up	GO:0048522	positive regulation of cellular process	ENSMUSG00000025746	Il6
WT/FF	up	GO:0048522	positive regulation of cellular process	ENSMUSG00000054136	Adm2
WT/FF	up	GO:0048522	positive regulation of cellular process	ENSMUSG00000015316	Slamf1
WT/FF	up	GO:0048522	positive regulation of cellular process	ENSMUSG00000037411	Serpine1
WT/FF	up	GO:0048522	positive regulation of cellular process	ENSMUSG00000024803	Ankrd1
WT/FF	up	GO:0048522	positive regulation of cellular process	ENSMUSG00000039910	Cited2
WT/FF	up	GO:0048522	positive regulation of cellular process	ENSMUSG00000024517	Grp
WT/FF	up	GO:0048522	positive regulation of cellular process	ENSMUSG00000038676	Ucn
WT/FF	up	GO:0048522	positive regulation of cellular process	ENSMUSG00000038331	Satb2
WT/FF	up	GO:0048519	negative regulation of biological process	ENSMUSG00000073680	Tmem88b
WT/FF	up	GO:0048519	negative regulation of biological process	ENSMUSG00000046223	Plaur
WT/FF	up	GO:0048519	negative regulation of biological process	ENSMUSG00000031074	Fgf3
WT/FF	up	GO:0048519	negative regulation of biological process	ENSMUSG00000027611	Procr
WT/FF	up	GO:0048519	negative regulation of biological process	ENSMUSG00000025746	Il6
WT/FF	up	GO:0048519	negative regulation of biological process	ENSMUSG00000015316	Slamf1
WT/FF	up	GO:0048519	negative regulation of biological process	ENSMUSG00000037411	Serpine1
WT/FF	up	GO:0048519	negative regulation of biological process	ENSMUSG00000031383	Dusp9
WT/FF	up	GO:0048519	negative regulation of biological process	ENSMUSG00000024803	Ankrd1
WT/FF	up	GO:0048519	negative regulation of biological process	ENSMUSG00000039910	Cited2
WT/FF	up	GO:0048519	negative regulation of biological process	ENSMUSG00000024517	Grp
WT/FF	up	GO:0048519	negative regulation of biological process	ENSMUSG00000038676	Ucn
WT/FF	up	GO:0048519	negative regulation of biological process	ENSMUSG00000038331	Satb2
WT/FF	up	GO:0048523	negative regulation of cellular process	ENSMUSG00000073680	Tmem88b
WT/FF	up	GO:0048523	negative regulation of cellular process	ENSMUSG00000046223	Plaur
WT/FF	up	GO:0048523	negative regulation of cellular process	ENSMUSG00000025746	Il6
WT/FF	up	GO:0048523	negative regulation of cellular process	ENSMUSG00000015316	Slamf1
WT/FF	up	GO:0048523	negative regulation of cellular process	ENSMUSG00000037411	Serpine1
WT/FF	up	GO:0048523	negative regulation of cellular process	ENSMUSG00000031383	Dusp9
WT/FF	up	GO:0048523	negative regulation of cellular process	ENSMUSG00000024803	Ankrd1
