side_class	ff_srr	cre_srr	pca_distance
ipsi	SRR35329986	SRR35329987	0.27223996858464516
ipsi	SRR35329984	SRR35329987	0.6663706827139585
contra	SRR35329980	SRR35329988	1.1788493683869634
ipsi	SRR35329984	SRR35329983	2.239021126016479
contra	SRR35329981	SRR35329988	2.3429269339365986
ipsi	SRR35329986	SRR35329983	2.438799053904106
ipsi	SRR35329978	SRR35329993	3.0989197156775576
ipsi	SRR35329992	SRR35329987	3.4220039883383193
ipsi	SRR35329978	SRR35329987	3.4234999994496094
ipsi	SRR35329984	SRR35329993	3.690469153181961
contra	SRR35329979	SRR35329988	3.914887186083767
contra	SRR35329989	SRR35329988	4.027208770292022
ipsi	SRR35329978	SRR35329983	4.037492252612228
ipsi	SRR35329986	SRR35329977	4.095491052319762
contra	SRR35329989	SRR35329996	4.15996866419187
contra	SRR35329979	SRR35329996	4.286870915580941
ipsi	SRR35329986	SRR35329993	4.4545452530134515
ipsi	SRR35329991	SRR35329994	4.850852380465922
ipsi	SRR35329984	SRR35329977	4.914468679627523
ipsi	SRR35329992	SRR35329977	5.312756228780974
ipsi	SRR35329992	SRR35329983	5.317184834550749
ipsi	SRR35329991	SRR35329987	5.4834246235331
contra	SRR35329981	SRR35329996	5.625440496878345
ipsi	SRR35329992	SRR35329993	5.711201463979762
ipsi	SRR35329991	SRR35329977	5.918341996648247
ipsi	SRR35329992	SRR35329994	6.7865870798130725
ipsi	SRR35329978	SRR35329977	7.209930487200448
ipsi	SRR35329991	SRR35329983	7.524718102955254
contra	SRR35329982	SRR35329985	7.824695094744621
ipsi	SRR35329991	SRR35329993	7.90933882575347
contra	SRR35329982	SRR35329996	8.033553003115555
contra	SRR35329980	SRR35329996	8.06370579788574
ipsi	SRR35329978	SRR35329994	8.617589661478227
ipsi	SRR35329984	SRR35329994	9.896561697868044
ipsi	SRR35329986	SRR35329994	10.189305450010039
contra	SRR35329982	SRR35329995	10.475121281977097
contra	SRR35329982	SRR35329988	15.940440968663543
contra	SRR35329982	SRR35329990	17.047912774608076
contra	SRR35329989	SRR35329985	19.90359873347809
contra	SRR35329979	SRR35329985	20.029127589479785
contra	SRR35329981	SRR35329985	21.461465836461244
contra	SRR35329989	SRR35329995	22.551312102693124
contra	SRR35329979	SRR35329995	22.676668936107294
contra	SRR35329980	SRR35329985	23.858293755085125
contra	SRR35329981	SRR35329995	24.11352022591035
contra	SRR35329980	SRR35329995	26.50667930653284
contra	SRR35329989	SRR35329990	29.013613702041138
contra	SRR35329979	SRR35329990	29.1405369602741
contra	SRR35329981	SRR35329990	30.48197258846598
contra	SRR35329980	SRR35329990	32.934339033362946
