srr	sample_title	geno_class	side_class	platform_family	gc_status	PC1	PC2	PC1_var_explained	PC2_var_explained
SRR35329977	Replicate H64, CRE genotype, Ipsilateral tissue	cre	ipsi	NovaSeq X	WARN	-17.427478280731542	0.7951371108179707	0.46229682184241444	0.20585528679491136
SRR35329978	Replicate H65,  Wildtype, Ipsilateral tissue	ff	ipsi	NovaSeq X	WARN	-10.297343341851604	-0.2745700377166563	0.46229682184241444	0.20585528679491136
SRR35329979	Replicate H96,  Wildtype, Contralateral tissue	ff	contra	NovaSeq X	WARN	11.574630649695848	-8.34109534715255	0.46229682184241444	0.20585528679491136
SRR35329980	Replicate H97,  Wildtype, Contralateral tissue	ff	contra	NovaSeq X	WARN	11.527730966025501	-12.171999820417286	0.46229682184241444	0.20585528679491136
SRR35329981	Replicate H65,  Wildtype, Contralateral tissue	ff	contra	NovaSeq X	WARN	12.234323848119745	-9.794205689616485	0.46229682184241444	0.20585528679491136
SRR35329982	Replicate H62,  Wildtype, Contralateral tissue	ff	contra	NovaSeq X	WARN	12.26917136850226	3.844882913655366	0.46229682184241444	0.20585528679491136
SRR35329983	Replicate H61, CRE genotype, Ipsilateral tissue	cre	ipsi	NovaSeq X	WARN	-12.858961110984458	-3.395380524556027	0.46229682184241444	0.20585528679491136
SRR35329984	Replicate H62,  Wildtype, Ipsilateral tissue	ff	ipsi	NovaSeq X	WARN	-12.917413451424128	-1.1571225129217053	0.46229682184241444	0.20585528679491136
SRR35329985	Replicate H64, CRE genotype, Contralateral tissue	cre	contra	NovaSeq X	WARN	12.530321167862727	11.665218846849958	0.46229682184241444	0.20585528679491136
SRR35329986	Replicate H63, Wildtype, Ipsilateral tissue	ff	ipsi	NovaSeq X	WARN	-13.827177725350557	-1.1570111598199448	0.46229682184241444	0.20585528679491136
SRR35329987	Replicate H95, CRE genotype, Ipsilateral tissue	cre	ipsi	NovaSeq X	WARN	-13.575622134400927	-1.2610995124678317	0.46229682184241444	0.20585528679491136
SRR35329988	Replicate H99, CRE genotype, Contralateral tissue	cre	contra	NovaSeq X	WARN	12.703699409196163	-12.08963445140147	0.46229682184241444	0.20585528679491136
SRR35329989	Replicate H63,  Wildtype, Contralateral tissue	ff	contra	NovaSeq X	WARN	11.599975956539478	-8.216624637371483	0.46229682184241444	0.20585528679491136
SRR35329990	Replicate H100, CRE genotype, Contralateral tissue	cre	contra	NovaSeq X	WARN	16.244449488893874	20.42283495352389	0.46229682184241444	0.20585528679491136
SRR35329991	Replicate H96, Wildtype, Ipsilateral tissue	ff	ipsi	NovaSeq X	WARN	-12.532893327922933	4.122269529137072	0.46229682184241444	0.20585528679491136
SRR35329992	Replicate H97, Wildtype, Ipsilateral tissue	ff	ipsi	NovaSeq X	WARN	-12.227539440836535	1.8841801805826197	0.46229682184241444	0.20585528679491136
SRR35329993	Replicate H99, CRE genotype, Ipsilateral tissue	cre	ipsi	NovaSeq X	WARN	-9.95222200391917	-3.3542120081928997	0.46229682184241444	0.20585528679491136
SRR35329994	Replicate H100, CRE genotype, Ipsilateral tissue	cre	ipsi	NovaSeq X	WARN	-10.139519973437967	8.341574306362022	0.46229682184241444	0.20585528679491136
SRR35329995	Replicate H95, CRE genotype, Contralateral tissue	cre	contra	NovaSeq X	WARN	12.460831431400786	14.318250676338927	0.46229682184241444	0.20585528679491136
SRR35329996	Replicate H6, CRE genotype, Contralateral tissue	cre	contra	NovaSeq X	WARN	12.611036504623328	-4.181392815633521	0.46229682184241444	0.20585528679491136
