Direction	Gene symbol	Gene ID	log2FoldChange	padj	baseMean	Selection note
Upregulated	ENSMUSG00000026628	ENSMUSG00000026628	5.97087651689662	0.0	14650.8125638744	top within CRE bend-point core by padj
Upregulated	ENSMUSG00000051379	ENSMUSG00000051379	3.75342209906902	0.0	5691.6137247449	top within CRE bend-point core by padj
Upregulated	ENSMUSG00000036390	ENSMUSG00000036390	3.51628381182173	0.0	7407.1258322948	top within CRE bend-point core by padj
Upregulated	ENSMUSG00000063632	ENSMUSG00000063632	3.27322619438355	0.0	2497.65847078636	top within CRE bend-point core by padj
Upregulated	ENSMUSG00000052684	ENSMUSG00000052684	1.92466208007051	0.0	12732.0800475042	top within CRE bend-point core by padj
Upregulated	ENSMUSG00000019647	ENSMUSG00000019647	3.51563819831424	3.4649280566e-314	4767.59580221023	top within CRE bend-point core by padj
Upregulated	ENSMUSG00000073680	ENSMUSG00000073680	5.54718215950102	4.51503789775691e-277	829.441405581674	top within CRE bend-point core by padj
Upregulated	ENSMUSG00000037428	ENSMUSG00000037428	2.23334483939714	5.76331494721509e-228	16683.7522086158	top within CRE bend-point core by padj
Upregulated	ENSMUSG00000042816	ENSMUSG00000042816	4.65751605272948	9.84019520360142e-223	871.386730841559	top within CRE bend-point core by padj
Upregulated	ENSMUSG00000001473	ENSMUSG00000001473	2.17804187964076	2.37041602016918e-194	1906.16456694685	top within CRE bend-point core by padj
Downregulated	ENSMUSG00000045648	ENSMUSG00000045648	-1.03308061029421	7.0056627125834e-45	763.830491477755	top within CRE bend-point core by padj
Downregulated	ENSMUSG00000034245	ENSMUSG00000034245	-0.405500914821462	3.1953639607236e-38	6425.44513679199	top within CRE bend-point core by padj
Downregulated	ENSMUSG00000027584	ENSMUSG00000027584	-1.00441524242231	4.00609075185571e-34	975.231630654877	top within CRE bend-point core by padj
Downregulated	ENSMUSG00000045318	ENSMUSG00000045318	-0.844775313491829	9.25120804474333e-34	1075.52869080862	top within CRE bend-point core by padj
Downregulated	ENSMUSG00000055782	ENSMUSG00000055782	-0.699525120019773	9.1765205845277e-29	1646.49591270924	top within CRE bend-point core by padj
Downregulated	ENSMUSG00000066477	ENSMUSG00000066477	-1.04622401360756	1.27982696496218e-28	603.824804225915	top within CRE bend-point core by padj
Downregulated	ENSMUSG00000048616	ENSMUSG00000048616	-1.18363319609781	5.30213307758445e-28	371.680606889914	top within CRE bend-point core by padj
Downregulated	ENSMUSG00000073155	ENSMUSG00000073155	-0.292783954930653	6.25051801865911e-27	3895.76847628778	top within CRE bend-point core by padj
Downregulated	ENSMUSG00000036186	ENSMUSG00000036186	-0.618737358371725	1.02760215669667e-26	1177.78865703052	top within CRE bend-point core by padj
Downregulated	ENSMUSG00000047606	ENSMUSG00000047606	-1.00491421586451	1.37725094104196e-26	963.375574584446	top within CRE bend-point core by padj
