contrast_id	gene_set_used	source	native	name	p_value	term_size	query_size	intersection_size	effective_domain_size	parents
ipsi_vs_contra_in_cre	bend-point selected genes	GO:BP	GO:0048518	positive regulation of biological process	3.5653150808089466e-35	6447	808	368	25907	['GO:0008150', 'GO:0050789']
ipsi_vs_contra_in_cre	bend-point selected genes	GO:BP	GO:0048522	positive regulation of cellular process	1.330502163601098e-33	6095	808	351	25907	['GO:0009987', 'GO:0048518', 'GO:0050794']
ipsi_vs_contra_in_cre	bend-point selected genes	GO:BP	GO:0051179	localization	8.660139674471531e-29	5309	808	309	25907	['GO:0008150']
ipsi_vs_contra_in_cre	bend-point selected genes	GO:BP	GO:0065007	biological regulation	8.104387458964108e-28	13503	808	580	25907	['GO:0008150']
ipsi_vs_contra_in_cre	bend-point selected genes	GO:BP	GO:0048523	negative regulation of cellular process	1.2075329685851878e-27	5540	808	315	25907	['GO:0009987', 'GO:0048519', 'GO:0050794']
ipsi_vs_contra_in_cre	bend-point selected genes	GO:BP	GO:0048519	negative regulation of biological process	1.648341754030707e-27	5759	808	323	25907	['GO:0008150', 'GO:0050789']
ipsi_vs_contra_in_cre	bend-point selected genes	GO:BP	GO:0051234	establishment of localization	3.871345812867554e-26	4666	808	277	25907	['GO:0051179']
ipsi_vs_contra_in_cre	bend-point selected genes	GO:BP	GO:0048856	anatomical structure development	8.096807378916298e-26	6280	808	338	25907	['GO:0032502']
ipsi_vs_contra_in_cre	bend-point selected genes	GO:BP	GO:0006810	transport	8.626823778673477e-26	4364	808	264	25907	['GO:0051234']
ipsi_vs_contra_in_cre	bend-point selected genes	GO:BP	GO:0032502	developmental process	1.409798099245264e-25	6873	808	359	25907	['GO:0008150']
ipsi_vs_contra_in_cre	bend-point selected genes	GO:BP	GO:0048731	system development	3.4348088513874315e-25	4155	808	254	25907	['GO:0007275', 'GO:0048856']
ipsi_vs_contra_in_cre	bend-point selected genes	GO:BP	GO:0048583	regulation of response to stimulus	6.104347611935488e-24	3939	808	242	25907	['GO:0050789', 'GO:0050896']
ipsi_vs_contra_in_cre	bend-point selected genes	GO:BP	GO:0023051	regulation of signaling	6.934197690076747e-24	3558	808	226	25907	['GO:0023052', 'GO:0050789']
ipsi_vs_contra_in_cre	bend-point selected genes	GO:BP	GO:0050789	regulation of biological process	1.1537264537307766e-23	13108	808	557	25907	['GO:0008150', 'GO:0065007']
ipsi_vs_contra_in_cre	bend-point selected genes	GO:BP	GO:0007275	multicellular organism development	1.1928763974985489e-23	4907	808	280	25907	['GO:0032501', 'GO:0048856']
ipsi_vs_contra_in_cre	bend-point selected genes	GO:BP	GO:0050794	regulation of cellular process	3.161230032234976e-23	12715	808	544	25907	['GO:0009987', 'GO:0050789']
ipsi_vs_contra_in_cre	bend-point selected genes	GO:BP	GO:0010646	regulation of cell communication	4.811244740553994e-23	3560	808	224	25907	['GO:0007154', 'GO:0050794']
ipsi_vs_contra_in_cre	bend-point selected genes	GO:BP	GO:0035556	intracellular signal transduction	9.299086173198457e-23	2810	808	191	25907	['GO:0007165']
ipsi_vs_contra_in_cre	bend-point selected genes	GO:BP	GO:0006950	response to stress	2.433506202729718e-22	3917	808	237	25907	['GO:0050896']
ipsi_vs_contra_in_cre	bend-point selected genes	GO:BP	GO:0009966	regulation of signal transduction	4.919742484865402e-22	2940	808	195	25907	['GO:0007165', 'GO:0010646', 'GO:0023051', 'GO:0048583']
ipsi_vs_contra_in_cre	bend-point selected genes	GO:BP	GO:0019538	protein metabolic process	1.53277195699117e-21	4467	808	257	25907	['GO:0043170', 'GO:0044238']
ipsi_vs_contra_in_cre	bend-point selected genes	GO:BP	GO:0050896	response to stimulus	2.733085599152559e-21	10427	808	467	25907	['GO:0008150']
ipsi_vs_contra_in_cre	bend-point selected genes	GO:BP	GO:0006796	phosphate-containing compound metabolic process	4.3733410934099505e-21	2232	808	161	25907	['GO:0006793']
ipsi_vs_contra_in_cre	bend-point selected genes	GO:BP	GO:0006793	phosphorus metabolic process	5.0412867876470846e-21	2235	808	161	25907	['GO:0008152']
ipsi_vs_contra_in_cre	bend-point selected genes	GO:BP	GO:0023057	negative regulation of signaling	1.0613253670689871e-19	1426	808	119	25907	['GO:0023051', 'GO:0023052', 'GO:0048519']
ipsi_vs_contra_in_cre	bend-point selected genes	GO:BP	GO:0010648	negative regulation of cell communication	1.3427329723866198e-19	1430	808	119	25907	['GO:0007154', 'GO:0010646', 'GO:0048523']
ipsi_vs_contra_in_cre	bend-point selected genes	GO:BP	GO:0030154	cell differentiation	1.817453841014005e-19	4795	808	264	25907	['GO:0048869']
ipsi_vs_contra_in_cre	bend-point selected genes	GO:BP	GO:0048869	cellular developmental process	1.874175667979584e-19	4796	808	264	25907	['GO:0009987', 'GO:0032502']
ipsi_vs_contra_in_cre	bend-point selected genes	GO:BP	GO:0006915	apoptotic process	2.361731503254527e-19	2015	808	147	25907	['GO:0012501']
