contrast_id	gene_set_used	source	native	name	p_value	term_size	query_size	intersection_size	effective_domain_size	parents
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0048518	positive regulation of biological process	8.602954281247847e-34	6447	736	340	25907	['GO:0008150', 'GO:0050789']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0048522	positive regulation of cellular process	1.0632745857991898e-31	6095	736	323	25907	['GO:0009987', 'GO:0048518', 'GO:0050794']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0051179	localization	8.761587438922794e-28	5309	736	286	25907	['GO:0008150']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0048523	negative regulation of cellular process	2.596211898312764e-27	5540	736	293	25907	['GO:0009987', 'GO:0048519', 'GO:0050794']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0048519	negative regulation of biological process	4.7226617698305835e-27	5759	736	300	25907	['GO:0008150', 'GO:0050789']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0065007	biological regulation	1.64641853671712e-26	13503	736	532	25907	['GO:0008150']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0051234	establishment of localization	5.180086030877156e-25	4666	736	256	25907	['GO:0051179']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0048856	anatomical structure development	8.593566665125633e-25	6280	736	312	25907	['GO:0032502']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0006810	transport	1.2012876859605776e-24	4364	736	244	25907	['GO:0051234']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0019538	protein metabolic process	2.52785735737973e-24	4467	736	247	25907	['GO:0043170', 'GO:0044238']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0032502	developmental process	3.944827970433765e-24	6873	736	330	25907	['GO:0008150']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0048731	system development	2.4334947338940432e-23	4155	736	233	25907	['GO:0007275', 'GO:0048856']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0007275	multicellular organism development	8.859797339386582e-23	4907	736	259	25907	['GO:0032501', 'GO:0048856']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0050789	regulation of biological process	3.0775851028192427e-22	13108	736	510	25907	['GO:0008150', 'GO:0065007']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0006950	response to stress	4.1954836068182933e-22	3917	736	221	25907	['GO:0050896']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0050794	regulation of cellular process	2.011286904455517e-21	12715	736	497	25907	['GO:0009987', 'GO:0050789']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0048583	regulation of response to stimulus	2.219235669558717e-21	3939	736	220	25907	['GO:0050789', 'GO:0050896']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0035556	intracellular signal transduction	1.2293099282119587e-19	2810	736	172	25907	['GO:0007165']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0023051	regulation of signaling	1.4467077679214428e-19	3558	736	201	25907	['GO:0023052', 'GO:0050789']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0010646	regulation of cell communication	9.203355764413322e-19	3560	736	199	25907	['GO:0007154', 'GO:0050794']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0050896	response to stimulus	2.121687350644244e-18	10427	736	423	25907	['GO:0008150']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0006796	phosphate-containing compound metabolic process	3.186060243980957e-18	2232	736	145	25907	['GO:0006793']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0009893	positive regulation of metabolic process	3.344418996779715e-18	3493	736	195	25907	['GO:0008152', 'GO:0019222', 'GO:0048522']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0065008	regulation of biological quality	3.423968255791973e-18	3180	736	183	25907	['GO:0065007']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0006793	phosphorus metabolic process	3.615239139582024e-18	2235	736	145	25907	['GO:0008152']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0030154	cell differentiation	5.085093952299643e-18	4795	736	242	25907	['GO:0048869']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0048869	cellular developmental process	5.231129337237351e-18	4796	736	242	25907	['GO:0009987', 'GO:0032502']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0009966	regulation of signal transduction	6.1738422021427756e-18	2940	736	173	25907	['GO:0007165', 'GO:0010646', 'GO:0023051', 'GO:0048583']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0008219	cell death	4.551394300696844e-17	2081	736	136	25907	['GO:0009987']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0012501	programmed cell death	4.551394300696844e-17	2081	736	136	25907	['GO:0008219']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0032879	regulation of localization	5.226026279316071e-17	2108	736	137	25907	['GO:0050789', 'GO:0051179']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0006915	apoptotic process	5.589609921788618e-17	2015	736	133	25907	['GO:0012501']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0051239	regulation of multicellular organismal process	5.654595680321995e-17	3080	736	176	25907	['GO:0032501', 'GO:0050789']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0009653	anatomical structure morphogenesis	7.567632954638283e-17	2781	736	164	25907	['GO:0032502', 'GO:0048856']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0032501	multicellular organismal process	7.581628724758005e-17	8499	736	360	25907	['GO:0008150']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0010604	positive regulation of macromolecule metabolic process	9.735836359133865e-17	3174	736	179	25907	['GO:0009893', 'GO:0043170', 'GO:0060255']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0051641	cellular localization	1.0581839504132143e-16	3493	736	191	25907	['GO:0009987', 'GO:0051179']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0080090	regulation of primary metabolic process	1.4497910771876215e-16	5176	736	251	25907	['GO:0019222', 'GO:0044238']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0016310	phosphorylation	1.590248946972408e-16	1191	736	95	25907	['GO:0006796']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0023057	negative regulation of signaling	1.6652757998635732e-16	1426	736	106	25907	['GO:0023051', 'GO:0023052', 'GO:0048519']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0007166	cell surface receptor signaling pathway	1.9238451584260083e-16	2731	736	161	25907	['GO:0007165']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0010648	negative regulation of cell communication	2.045468635838353e-16	1430	736	106	25907	['GO:0007154', 'GO:0010646', 'GO:0048523']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0007399	nervous system development	3.091169197229142e-16	2593	736	155	25907	['GO:0048731']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0033036	macromolecule localization	3.278829876815859e-16	3054	736	173	25907	['GO:0051179']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0051246	regulation of protein metabolic process	4.161310441625789e-16	1667	736	116	25907	['GO:0019538', 'GO:0060255', 'GO:0080090']
