contrast_id	gene_set_used	source	native	name	p_value	term_size	query_size	intersection_size	effective_domain_size	parents
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0048518	positive regulation of biological process	9.427223995318975e-32	6447	657	308	25907	['GO:0008150', 'GO:0050789']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0048522	positive regulation of cellular process	8.454629399821395e-31	6095	657	295	25907	['GO:0009987', 'GO:0048518', 'GO:0050794']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0048519	negative regulation of biological process	1.114633358660992e-24	5759	657	270	25907	['GO:0008150', 'GO:0050789']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0023051	regulation of signaling	1.7178823379988366e-24	3558	657	197	25907	['GO:0023052', 'GO:0050789']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0048523	negative regulation of cellular process	3.2680857232588256e-24	5540	657	262	25907	['GO:0009987', 'GO:0048519', 'GO:0050794']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0035556	intracellular signal transduction	4.320747593987989e-24	2810	657	169	25907	['GO:0007165']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0010646	regulation of cell communication	1.4291763018848272e-23	3560	657	195	25907	['GO:0007154', 'GO:0050794']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0065007	biological regulation	5.557275648634878e-23	13503	657	474	25907	['GO:0008150']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0048731	system development	3.9994905798372245e-22	4155	657	212	25907	['GO:0007275', 'GO:0048856']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0051179	localization	6.068204164985429e-22	5309	657	249	25907	['GO:0008150']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0048583	regulation of response to stimulus	7.9349868179175935e-22	3939	657	204	25907	['GO:0050789', 'GO:0050896']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0006950	response to stress	1.0117442842467673e-21	3917	657	203	25907	['GO:0050896']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0009966	regulation of signal transduction	5.680518805590047e-21	2940	657	167	25907	['GO:0007165', 'GO:0010646', 'GO:0023051', 'GO:0048583']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0006810	transport	6.2693717484717184e-21	4364	657	216	25907	['GO:0051234']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0048856	anatomical structure development	7.377579988301237e-21	6280	657	276	25907	['GO:0032502']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0007275	multicellular organism development	2.656073450099707e-20	4907	657	232	25907	['GO:0032501', 'GO:0048856']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0050789	regulation of biological process	3.8026379348217194e-20	13108	657	457	25907	['GO:0008150', 'GO:0065007']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0051239	regulation of multicellular organismal process	4.435488405592438e-20	3080	657	170	25907	['GO:0032501', 'GO:0050789']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0051234	establishment of localization	8.124586460402379e-20	4666	657	223	25907	['GO:0051179']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0023057	negative regulation of signaling	1.0098543841428477e-19	1426	657	105	25907	['GO:0023051', 'GO:0023052', 'GO:0048519']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0010648	negative regulation of cell communication	1.252611184723564e-19	1430	657	105	25907	['GO:0007154', 'GO:0010646', 'GO:0048523']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0050794	regulation of cellular process	1.2895794608691316e-19	12715	657	446	25907	['GO:0009987', 'GO:0050789']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0007399	nervous system development	1.626239784492742e-19	2593	657	151	25907	['GO:0048731']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0032502	developmental process	3.292024298138798e-19	6873	657	289	25907	['GO:0008150']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0050896	response to stimulus	7.826576098192464e-19	10427	657	386	25907	['GO:0008150']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0065008	regulation of biological quality	3.59780164233261e-18	3180	657	169	25907	['GO:0065007']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0048585	negative regulation of response to stimulus	7.809853015124242e-18	1655	657	111	25907	['GO:0048519', 'GO:0048583', 'GO:0050896']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0007166	cell surface receptor signaling pathway	9.627388908648393e-18	2731	657	152	25907	['GO:0007165']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0009968	negative regulation of signal transduction	1.2990525758465157e-17	1286	657	95	25907	['GO:0007165', 'GO:0009966', 'GO:0010648', 'GO:0023057', 'GO:0048585']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0030154	cell differentiation	3.6204976687982254e-17	4795	657	220	25907	['GO:0048869']
