Direction	native	name	gene_id	symbol	evidence_codes
Upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000026628	Atf3	IMP, IGI, ISO, IEA
Upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000036390	Gadd45a	IEA
Upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000051379	Flrt3	IDA
Upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000063632	Sox11	IDA, IMP, ISS, ISO, IBA, IEA
Upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000052684	Jun	IDA, IMP, IGI, ISS, ISO
Upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000019647	Sema6a	IMP, IBA
Upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000031574	Star	ISO, IEA
Upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000004951	Hspb1	IDA, ISO, IEA
Upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000039328	Rnf122	ISS, IEA
Upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000028494	Plin2	IBA
Upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000030898	Cckbr	ISS, ISO, IEA
Upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000050164	Mchr1	ISO, IEA
Upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000046223	Plaur	IEA
Upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000030102	Itpr1	IMP, IGI, ISO, IEA
Upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000046731	Kctd11	IDA, IBA
Upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000056749	Nfil3	IDA, IMP
Upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000025473	Adam8	IDA, IMP, IBA, IEA
Upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000014599	Csf1	IDA, IMP, IGI, ISO, IBA, IEA
Upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000022895	Ets2	ISO, IEA
Upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000019876	Pkib	IEA
Upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000046688	Tifa	IDA, ISS, IBA, IEA
Upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000031074	Fgf3	IEA
Upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000032515	Csrnp1	IDA
Upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000020427	Igfbp3	IGI, ISS, ISO, IEA
Upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000023905	Tnfrsf12a	IDA, IBA, IEA
Upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000024143	Rhoq	IEA
Upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000000078	Klf6	IEA
Upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000037447	Arid5a	IDA, IMP, IGI, ISS, IEA
Upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000025612	Bach1	IDA
Upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000021765	Fst	ISO, IEA
Upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000027495	Fam210b	ISS, IEA
